,-1.90,-1.90
1941,0.65,0.65
1945,0.77,0.77
1949,0.87,0.87
1954,0.98,0.98
1958,1.08,1.08
1963,1.13,1.13
1967,1.26,1.26
1971,1.39,1.39
1975,1.51,1.51
1979,1.63,1.63
1983,1.75,1.75
1987,1.87,1.87
1991,1.96,1.96
1995,2.00,2.00
1999,2.00,2.00
2003,2.00,2.00
2008,2.00,2.00
2012,1.98,1.98
2016,1.91,1.91
2021,1.83,1.83
2025,1.76,1.76
2029,1.69,1.69
2033,1.62,1.62
2037,1.55,1.55
2041,1.49,1.49
2045,1.43,1.43
2050,1.36,1.36
2054,1.30,1.30
2058,1.24,1.24
2062,1.18,1.18
2066,1.11,1.11
2070,1.03,1.03
2074,0.91,0.91
2078,0.79,0.79
2082,0.66,0.66
2087,0.51,0.51
2092,0.35,0.35
2096,0.17,0.17
2100,-0.06,-0.06
2104,-0.25,-0.25
2109,-0.49,-0.49
2113,-0.72,-0.72
2118,-0.88,-0.88
2123,-1.04,-1.04
2127,-1.13,-1.13
2132,-1.20,-1.20
2137,-1.26,-1.26
2142,-1.32,-1.32
2146,-1.41,-1.41
2151,-1.54,-1.54
2156,-1.69,-1.69
2160,-1.83,-1.83
2165,-2.00,-2.00
2169,-2.00,-2.00
2174,-2.00,-2.00
2179,-2.00,-2.00
2184,-2.00,-2.00
2189,-2.00,-2.00
2193,-2.00,-2.00
2198,-2.00,-2.00
2202,-2.00,-2.00
2207,-2.00,-2.00
2211,-2.00,-2.00
2216,-2.00,-2.00
2222,-2.00,-2.00
2226,-1.92,-1.92
2231,-1.83,-1.83
2235,-1.77,-1.77
2240,-1.73,-1.73
2244,-1.72,-1.72
2249,-1.75,-1.75
2254,-1.81,-1.81
2258,-1.87,-1.87
2264,-1.92,-1.92
2268,-1.98,-1.98
2273,-2.00,-2.00
2277,-2.00,-2.00
2282,-2.00,-2.00
2287,-1.99,-1.99
2291,-1.95,-1.95
2296,-1.89,-1.89
2300,-1.76,-1.76
2306,-1.65,-1.65
2310,-1.51,-1.51
2315,-1.35,-1.35
2320,-1.21,-1.21
2324,-1.02,-1.02
2329,-0.82,-0.82
2333,-0.58,-0.58
2338,-0.40,-0.40
2342,-0.16,-0.16
2348,0.07,0.07
2352,0.25,0.25
2356,0.44,0.44
2360,0.61,0.61
2364,0.78,0.78
2368,0.94,0.94
2372,1.11,1.11
2376,1.23,1.23
2380,1.34,1.34
2385,1.38,1.38
2390,1.48,1.48
2394,1.56,1.56
2398,1.67,1.67
2402,1.86,1.86
2406,2.00,2.00
2410,2.00,2.00
2414,2.00,2.00
2418,2.00,2.00
2422,2.00,2.00
2426,2.00,2.00
2430,2.00,2.00
2435,2.00,2.00
2439,2.00,2.00
2443,2.00,2.00
2447,1.91,1.91
2452,1.70,1.70
2456,1.56,1.56
2460,1.45,1.45
2464,1.36,1.36
2468,1.30,1.30
2472,1.25,1.25
2477,1.22,1.22
2481,1.19,1.19
2485,1.16,1.16
2489,1.14,1.14
2493,1.10,1.10
2497,1.03,1.03
2501,0.95,0.95
2505,0.81,0.81
2509,0.67,0.67
2513,0.50,0.50
2519,0.29,0.29
2523,0.07,0.07
2527,-0.16,-0.16
2531,-0.45,-0.45
2536,-0.72,-0.72
2540,-0.89,-0.89
2545,-1.06,-1.06
2549,-1.19,-1.19
2554,-1.31,-1.31
2560,-1.40,-1.40
2564,-1.51,-1.51
2569,-1.60,-1.60
2573,-1.69,-1.69
2578,-1.78,-1.78
2582,-1.87,-1.87
2587,-1.95,-1.95
2592,-2.00,-2.00
2596,-2.00,-2.00
2601,-2.00,-2.00
2606,-2.00,-2.00
2611,-2.00,-2.00
2615,-2.00,-2.00
2620,-2.00,-2.00
2625,-2.00,-2.00
2629,-2.00,-2.00
2634,-2.00,-2.00
2638,-2.00,-2.00
2643,-2.00,-2.00
2648,-2.00,-2.00
2653,-2.00,-2.00
2658,-1.97,-1.97
2662,-1.92,-1.92
2667,-1.89,-1.89
2671,-1.88,-1.88
2676,-1.89,-1.89
2680,-1.93,-1.93
2685,-1.98,-1.98
2691,-2.00,-2.00
2695,-2.00,-2.00
2700,-2.00,-2.00
2704,-2.00,-2.00
2709,-2.00,-2.00
2713,-2.00,-2.00
2718,-1.90,-1.90
2723,-1.71,-1.71
2727,-1.48,-1.48
2733,-1.28,-1.28
2737,-1.00,-1.00
2742,-0.72,-0.72
2746,-0.53,-0.53
2751,-0.34,-0.34
2756,-0.18,-0.18
