,1.26,1.26
1901,1.14,1.14
1905,0.98,0.98
1909,0.84,0.84
1913,0.69,0.69
1917,0.57,0.57
1923,0.43,0.43
1927,0.26,0.26
1931,0.06,0.06
1935,-0.12,-0.12
1939,-0.31,-0.31
1944,-0.48,-0.48
1948,-0.62,-0.62
1953,-0.79,-0.79
1958,-0.89,-0.89
1963,-1.01,-1.01
1968,-1.26,-1.26
1972,-1.39,-1.39
1977,-1.50,-1.50
1981,-1.67,-1.67
1986,-1.88,-1.88
1991,-2.00,-2.00
1995,-2.00,-2.00
2000,-2.00,-2.00
2004,-2.00,-2.00
2010,-2.00,-2.00
2014,-2.00,-2.00
2019,-2.00,-2.00
2024,-2.00,-2.00
2028,-2.00,-2.00
2033,-2.00,-2.00
2037,-2.00,-2.00
2042,-2.00,-2.00
2046,-1.85,-1.85
2052,-1.64,-1.64
2057,-1.46,-1.46
2061,-1.38,-1.38
2066,-1.39,-1.39
2070,-1.48,-1.48
2075,-1.62,-1.62
2079,-1.76,-1.76
2084,-1.91,-1.91
2089,-2.00,-2.00
2094,-2.00,-2.00
2099,-2.00,-2.00
2103,-2.00,-2.00
2108,-2.00,-2.00
2112,-2.00,-2.00
2117,-2.00,-2.00
2122,-2.00,-2.00
2126,-2.00,-2.00
2131,-2.00,-2.00
2136,-2.00,-2.00
2141,-1.94,-1.94
2145,-1.85,-1.85
2150,-1.73,-1.73
2155,-1.61,-1.61
2159,-1.42,-1.42
2164,-1.21,-1.21
2168,-1.03,-1.03
2173,-0.79,-0.79
2178,-0.53,-0.53
2183,-0.29,-0.29
2188,-0.00,-0.00
2192,0.29,0.29
2196,0.52,0.52
2200,0.72,0.72
2204,0.95,0.95
2208,1.17,1.17
2212,1.38,1.38
2216,1.68,1.68
2222,1.89,1.89
2226,2.00,2.00
2230,2.00,2.00
2234,2.00,2.00
2238,2.00,2.00
2242,2.00,2.00
2246,2.00,2.00
2250,2.00,2.00
2254,2.00,2.00
2258,2.00,2.00
2263,2.00,2.00
2267,2.00,2.00
2271,1.85,1.85
2275,1.67,1.67
2279,1.50,1.50
2283,1.35,1.35
2288,1.25,1.25
2292,1.18,1.18
2296,1.18,1.18
2300,1.21,1.21
2305,1.23,1.23
2309,1.27,1.27
2313,1.30,1.30
2317,1.34,1.34
2321,1.41,1.41
2325,1.47,1.47
2329,1.51,1.51
2333,1.53,1.53
2337,1.53,1.53
2341,1.50,1.50
2345,1.49,1.49
2350,1.46,1.46
2355,1.39,1.39
2359,1.30,1.30
2363,1.20,1.20
2367,1.06,1.06
2371,0.82,0.82
2375,0.57,0.57
2379,0.28,0.28
2383,-0.01,-0.01
2388,-0.38,-0.38
2393,-0.59,-0.59
2398,-0.88,-0.88
2402,-1.18,-1.18
2407,-1.37,-1.37
2411,-1.58,-1.58
2416,-1.77,-1.77
2421,-1.86,-1.86
2425,-2.00,-2.00
2430,-2.00,-2.00
2435,-2.00,-2.00
2440,-2.00,-2.00
2444,-2.00,-2.00
2449,-2.00,-2.00
2453,-2.00,-2.00
2458,-2.00,-2.00
2463,-2.00,-2.00
2467,-2.00,-2.00
2472,-2.00,-2.00
2477,-2.00,-2.00
2482,-2.00,-2.00
2486,-2.00,-2.00
2491,-2.00,-2.00
2496,-1.87,-1.87
2500,-1.73,-1.73
2505,-1.63,-1.63
2509,-1.59,-1.59
2514,-1.59,-1.59
2520,-1.65,-1.65
2524,-1.69,-1.69
2529,-1.73,-1.73
2533,-1.78,-1.78
2538,-1.88,-1.88
2542,-1.98,-1.98
2547,-2.00,-2.00
2551,-2.00,-2.00
2556,-2.00,-2.00
2562,-2.00,-2.00
2566,-2.00,-2.00
2571,-2.00,-2.00
2575,-2.00,-2.00
2580,-2.00,-2.00
2584,-2.00,-2.00
2589,-2.00,-2.00
2594,-1.91,-1.91
2598,-1.80,-1.80
2604,-1.64,-1.64
2608,-1.46,-1.46
2613,-1.31,-1.31
2617,-1.09,-1.09
2622,-0.84,-0.84
2627,-0.59,-0.59
2631,-0.26,-0.26
2636,0.05,0.05
2640,0.30,0.30
2644,0.58,0.58
2649,0.84,0.84
2653,1.07,1.07
2657,1.37,1.37
2661,1.61,1.61
2665,1.86,1.86
2669,2.00,2.00
2673,2.00,2.00
2677,2.00,2.00
2681,2.00,2.00
2686,2.00,2.00
2691,2.00,2.00
2695,2.00,2.00
2699,2.00,2.00
2703,2.00,2.00
2707,2.00,2.00
2711,2.00,2.00
2715,1.86,1.86
2719,1.57,1.57
2723,1.32,1.32
2727,1.16,1.16
2732,1.04,1.04
2736,0.95,0.95
2740,0.94,0.94
2744,0.98,0.98
2748,1.06,1.06
2753,1.16,1.16
