1235,-0.55,0.13
1240,-0.43,0.15
1245,-0.73,0.16
1249,-1.02,0.17
1253,-0.94,0.18
1258,-1.04,0.19
1262,-1.05,0.2
1266,-1.1,0.21
1271,-1.27,0.22
1275,-1.34,0.22
1280,-1.49,0.23
1285,-1.62,0.23
1289,-1.76,0.23
1293,-1.92,0.23
1297,-2,0.23
1302,-2,0.23
1306,-1.94,0.23
1310,-1.84,0.23
1315,-1.76,0.23
1319,-1.68,0.23
1324,-1.64,0.24
1329,-1.66,0.24
1333,-1.8,0.24
1337,-1.92,0.24
1342,-2,0.24
1346,-2,0.24
1350,-2,0.24
1355,-2,0.23
1359,-2,0.23
1363,-2,0.22
1369,-2,0.21
1373,-2,0.19
1377,-2,0.18
1381,-2,0.16
1386,-2,0.14
1390,-2,0.12
1394,-2,0.1
1399,-2,0.07
1403,-2,0.05
1408,-2,0.02
1413,-2,-0.01
1417,-1.8,-0.03
1422,-1.53,-0.05
1426,-1.37,-0.08
1431,-1.22,-0.1
1436,-1.06,-0.13
1440,-0.95,-0.15
1445,-0.75,-0.17
1449,-0.6,-0.19
1455,-0.45,-0.21
1459,-0.23,-0.23
1464,-0.08,-0.24
1469,0.08,-0.25
1473,0.29,-0.26
1477,0.49,-0.27
1481,0.51,-0.28
1486,0.48,-0.29
1490,0.85,-0.3
1495,0.97,-0.3
1500,0.97,-0.31
1504,0.96,-0.32
1508,0.97,-0.33
1513,0.99,-0.34
1517,1.04,-0.35
1521,1.04,-0.36
1526,1.04,-0.36
1530,1.14,-0.37
1534,1.31,-0.37
1540,1.45,-0.38
1544,1.48,-0.38
1548,1.58,-0.38
1553,1.59,-0.39
1557,1.53,-0.39
1561,1.43,-0.4
1565,1.34,-0.4
1570,1.34,-0.41
1574,1.31,-0.41
1579,1.33,-0.42
1584,1.39,-0.42
1588,1.5,-0.41
1592,1.55,-0.41
1597,1.61,-0.41
1601,1.61,-0.41
1605,1.63,-0.4
1610,1.64,-0.39
1614,1.58,-0.39
1618,1.56,-0.38
1624,1.6,-0.37
1628,1.62,-0.36
1632,1.74,-0.34
1637,1.85,-0.33
1641,1.99,-0.3
1645,2,-0.28
1649,1.99,-0.26
1654,1.9,-0.24
1658,1.78,-0.22
1662,1.65,-0.2
1668,1.5,-0.18
1672,1.29,-0.17
1676,1.11,-0.15
1681,1.05,-0.13
1685,0.94,-0.12
1689,0.86,-0.1
1694,0.82,-0.09
1698,0.79,-0.07
1702,0.66,-0.05
1708,0.54,-0.04
1712,0.39,-0.02
1716,0.2,-0.01
1721,0,0.01
1725,-0.13,0.02
1729,-0.23,0.03
1734,-0.33,0.05
1738,-0.42,0.06
1742,-0.52,0.08
1746,-0.5,0.09
1752,-0.54,0.11
1756,-0.69,0.12
1760,-0.68,0.13
1765,-0.72,0.14
1769,-0.56,0.15
1773,-0.57,0.16
1778,-0.51,0.17
1782,-0.55,0.19
1786,-0.66,0.2
1792,-0.83,0.21
1796,-0.9,0.22
1800,-0.98,0.23
1805,-1.08,0.24
1809,-1.25,0.25
1813,-1.42,0.26
1818,-1.62,0.26
1822,-1.9,0.26
1826,-2,0.26
1830,-2,0.26
1836,-2,0.26
1840,-2,0.26
1844,-1.89,0.26
1849,-1.78,0.27
1853,-1.7,0.27
1857,-1.69,0.27
1862,-1.7,0.27
1866,-1.74,0.27
1870,-1.8,0.27
1875,-1.87,0.26
