,0.43
11641,-0.05
11655,-0.04
11669,-0.02
11682,-0.02
11696,0.04
11708,0.17
11720,0.27
11732,0.36
11746,0.37
11758,0.39
11770,0.23
11783,0.04
11795,-0.13
11809,-0.26
11823,-0.36
11836,-0.48
11849,-0.55
11863,-0.60
11877,-0.58
11890,-0.54
11904,-0.43
11917,-0.30
11930,-0.23
11944,-0.16
11958,0.01
11970,0.28
11982,0.37
11995,0.30
12008,0.20
12020,0.06
12033,-0.02
12046,0.12
12058,-0.07
12072,-0.14
12086,-0.16
12099,-0.16
12112,-0.14
12126,-0.11
12140,-0.07
12153,-0.01
12167,0.06
12179,0.05
12191,0.12
12205,0.06
12217,-0.08
12230,-0.20
12243,-0.17
12257,-0.33
12271,-0.46
12284,-0.54
12298,-0.60
12311,-0.61
12324,-0.65
12339,-0.60
12352,-0.51
12365,-0.38
12379,-0.24
12392,-0.16
12406,-0.17
12420,0.02
12432,0.24
12444,0.30
12456,0.30
12470,0.23
12482,0.33
12494,0.05
12507,-0.02
12520,-0.14
12534,-0.16
12548,-0.16
12561,-0.13
12574,-0.11
12588,-0.10
12602,-0.08
12615,0.01
12627,0.05
12640,0.23
12652,0.08
12664,0.36
12678,0.23
12690,0.06
12702,-0.02
12716,0.04
12728,-0.35
12742,-0.40
12755,-0.51
12769,-0.58
12782,-0.64
12795,-0.70
12810,-0.67
12823,-0.58
12836,-0.51
12850,-0.43
12863,-0.43
12877,-0.48
12891,-0.40
12904,0.18
12916,0.31
12929,0.31
12942,0.27
12954,0.18
12966,0.15
12979,0.01
12991,-0.01
13005,-0.05
13019,-0.02
13032,0.02
13044,0.02
13057,0.02
13070,0.11
13082,0.21
13094,0.26
13107,0.15
13119,0.24
13132,0.08
13145,-0.07
13158,-0.07
13171,-0.21
13185,-0.38
13199,-0.43
13212,-0.54
13225,-0.54
13239,-0.54
13252,-0.49
13266,-0.36
13280,-0.21
13293,-0.05
13306,-0.05
13320,0.01
13333,0.42
13345,0.45
13358,0.43
13370,0.37
13382,0.37
13394,0.42
13408,0.21
13420,0.11
13432,0.09
13445,0.09
13457,0.11
13470,0.09
13483,0.11
13495,0.15
13507,0.23
13519,0.27
13533,0.30
13545,0.23
13557,0.27
13570,0.04
13582,-0.24
13595,-0.23
13609,-0.35
13623,-0.35
13636,-0.43
13649,-0.49
13663,-0.52
13677,-0.51
13690,-0.45
13704,-0.35
13717,-0.26
13731,-0.18
13745,-0.26
13758,-0.29
13771,0.08
13784,0.17
13796,0.18
13809,0.18
13821,0.06
13834,-0.07
13847,-0.10
13860,-0.16
13875,-0.18
13888,-0.17
13901,-0.13
13915,-0.10
13928,-0.11
13942,-0.08
13956,-0.01
13969,0.11
13981,0.18
13993,0.09
14007,0.30
14019,0.11
14031,-0.10
14045,-0.18
14058,-0.26
14072,-0.38
14086,-0.45
14099,-0.54
14112,-0.55
14126,-0.51
14140,-0.46
14153,-0.38
14167,-0.24
14180,-0.17
14193,-0.10
14208,-0.13
14221,0.15
14233,0.14
14245,0.20
14258,0.24
14271,0.20
14283,-0.10
14297,0.20
14309,0.06
14321,0.01
14334,-0.01
14348,0.02
14360,0.04
14372,0.06
14385,0.06
14398,0.12
14410,0.23
14423,0.34
14435,0.42
14447,0.45
14459,0.27
14473,-0.04
14486,-0.24
14499,-0.21
14513,-0.46
14526,-0.54
14540,-0.58
14554,-0.62
14567,-0.64
14580,-0.61
14594,-0.54
14608,-0.45
14621,-0.39
14635,-0.33
14648,-0.33
14661,-0.21
14675,0.24
14688,0.43
14700,0.48
14712,0.45
14725,0.37
14738,0.27
14750,0.28
14763,0.09
14775,0.14
14787,0.12
14800,0.12
14813,0.14
14825,0.17
14837,0.17
14850,0.24
14863,0.40
14875,0.53
14887,0.30
14900,0.55
14912,0.39
14924,0.18
14938,-0.07
14951,-0.11
14964,-0.24
14978,-0.42
14991,-0.49
15005,-0.58
15019,-0.64
15032,-0.64
15045,-0.62
15058,-0.49
15073,-0.45
15086,-0.45
15099,-0.51
15113,-0.61
15126,-0.07
15140,0.34
15153,0.48
15165,0.55
15177,0.50
15190,0.43
15203,0.12
15215,0.30
15227,0.27
15240,0.30
15252,0.31
15265,0.33
15278,0.34
15290,0.42
15302,0.50
15314,0.53
15327,0.49
15340,0.50
15352,0.31
15365,0.09
15377,-0.14
15390,-0.10
15405,-0.27
15418,-0.45
15431,-0.52
15444,-0.58
15458,-0.61
15472,-0.61
15485,-0.61
15499,-0.57
15512,-0.55
15525,-0.51
15540,-0.55
15553,-0.52
15566,-0.02
15580,0.45
15592,0.50
15605,0.49
15618,0.43
15630,0.36
15642,0.09
15654,0.27
15668,0.26
15680,0.26
15692,0.27
15705,0.26
15717,0.23
15730,0.24
15742,0.34
15755,0.46
15767,0.65
15779,0.48
15792,0.26
15805,-0.16
15818,-0.35
15832,-0.24
15845,-0.39
15858,-0.48
15873,-0.55
15886,-0.60
15899,-0.58
15912,-0.57
15926,-0.51
15940,-0.45
15953,-0.38
15967,-0.27
