,1.62,1.62
3537,1.61,1.61
3542,1.52,1.52
3546,1.43,1.43
3550,1.39,1.39
3554,1.37,1.37
3558,1.37,1.37
3562,1.36,1.36
3566,1.37,1.37
3570,1.32,1.32
3574,1.31,1.31
3578,1.30,1.30
3582,1.27,1.27
3588,1.21,1.21
3592,1.14,1.14
3596,1.05,1.05
3600,0.95,0.95
3604,0.85,0.85
3608,0.76,0.76
3612,0.67,0.67
3616,0.53,0.53
3620,0.43,0.43
3624,0.38,0.38
3629,0.22,0.22
3633,0.16,0.16
3637,0.01,0.01
3641,-0.06,-0.06
3646,-0.29,-0.29
3651,-0.50,-0.50
3655,-1.01,-1.01
3660,-0.91,-0.91
3664,-1.23,-1.23
3670,-1.57,-1.57
3674,-1.88,-1.88
3679,-2.00,-2.00
3683,-2.00,-2.00
3688,-2.00,-2.00
3693,-2.00,-2.00
3697,-2.00,-2.00
3702,-2.00,-2.00
3706,-2.00,-2.00
3712,-2.00,-2.00
3716,-2.00,-2.00
3721,-2.00,-2.00
3726,-2.00,-2.00
3730,-2.00,-2.00
3735,-1.82,-1.82
3739,-1.81,-1.81
3744,-1.84,-1.84
3748,-1.83,-1.83
3753,-1.84,-1.84
3759,-1.89,-1.89
3763,-1.93,-1.93
3768,-1.92,-1.92
3772,-1.87,-1.87
3777,-1.77,-1.77
3781,-1.70,-1.70
3786,-1.65,-1.65
3791,-1.83,-1.83
3795,-1.90,-1.90
3801,-1.98,-1.98
3805,-2.00,-2.00
3810,-2.00,-2.00
3814,-2.00,-2.00
3819,-2.00,-2.00
3824,-2.00,-2.00
3828,-2.00,-2.00
3833,-1.96,-1.96
3837,-1.91,-1.91
3843,-1.86,-1.86
3847,-1.79,-1.79
3852,-1.71,-1.71
3857,-1.59,-1.59
3861,-1.51,-1.51
3866,-1.39,-1.39
3870,-1.27,-1.27
3875,-1.13,-1.13
3879,-0.94,-0.94
3885,-0.60,-0.60
3890,-0.36,-0.36
3894,0.25,0.25
3898,0.67,0.67
3902,1.04,1.04
3906,1.24,1.24
3910,1.93,1.93
3914,2.00,2.00
3919,2.00,2.00
3923,2.00,2.00
3928,2.00,2.00
3932,2.00,2.00
3936,2.00,2.00
3940,2.00,2.00
3944,2.00,2.00
3948,2.00,2.00
3952,2.00,2.00
3956,2.00,2.00
3960,2.00,2.00
3964,2.00,2.00
3969,2.00,2.00
3973,2.00,2.00
3977,2.00,2.00
3981,2.00,2.00
