,-0.57,-0.57
2386,-0.96,-0.96
2391,-1.10,-1.10
2396,-1.27,-1.27
2400,-1.51,-1.51
2405,-1.50,-1.50
2410,-1.54,-1.54
2414,-1.71,-1.71
2419,-1.78,-1.78
2423,-1.80,-1.80
2428,-1.87,-1.87
2433,-1.94,-1.94
2438,-1.99,-1.99
2443,-2.00,-2.00
2447,-2.00,-2.00
2452,-2.00,-2.00
2456,-2.00,-2.00
2461,-2.00,-2.00
2465,-2.00,-2.00
2470,-2.00,-2.00
2476,-2.00,-2.00
2480,-2.00,-2.00
2485,-1.99,-1.99
2489,-1.73,-1.73
2494,-1.82,-1.82
2498,-1.68,-1.68
2503,-1.61,-1.61
2508,-1.47,-1.47
2512,-1.55,-1.55
2518,-1.61,-1.61
2522,-1.67,-1.67
2527,-1.65,-1.65
2531,-1.68,-1.68
2536,-1.61,-1.61
2541,-1.66,-1.66
2545,-1.77,-1.77
2550,-1.86,-1.86
2554,-1.95,-1.95
2560,-2.00,-2.00
2564,-2.00,-2.00
2569,-2.00,-2.00
2574,-2.00,-2.00
2578,-2.00,-2.00
2583,-2.00,-2.00
2587,-2.00,-2.00
2592,-1.96,-1.96
2596,-1.89,-1.89
2601,-1.84,-1.84
2607,-1.79,-1.79
2611,-1.70,-1.70
2616,-1.58,-1.58
2620,-1.42,-1.42
2625,-1.27,-1.27
2629,-1.04,-1.04
2634,-0.78,-0.78
2639,-0.56,-0.56
2643,-0.29,-0.29
2649,-0.01,-0.01
2653,0.21,0.21
2657,0.52,0.52
2661,0.87,0.87
2665,1.16,1.16
2670,1.42,1.42
2674,1.66,1.66
2678,1.99,1.99
2682,2.00,2.00
2686,2.00,2.00
2691,2.00,2.00
2695,2.00,2.00
2699,2.00,2.00
2703,2.00,2.00
2707,2.00,2.00
2711,2.00,2.00
2715,2.00,2.00
2719,1.92,1.92
2723,1.74,1.74
2727,1.59,1.59
2732,1.51,1.51
2737,1.45,1.45
2741,1.47,1.47
2745,1.51,1.51
2749,1.60,1.60
2753,1.68,1.68
2757,1.73,1.73
2761,1.75,1.75
2765,1.71,1.71
2769,1.70,1.70
2774,1.69,1.69
2778,1.60,1.60
2782,1.56,1.56
2786,1.50,1.50
2790,1.45,1.45
2794,1.44,1.44
2798,1.42,1.42
2803,1.41,1.41
2807,1.40,1.40
2811,1.41,1.41
2816,1.37,1.37
2820,1.36,1.36
2824,1.30,1.30
2828,1.22,1.22
2832,1.10,1.10
2836,0.95,0.95
2840,0.79,0.79
2844,0.64,0.64
2848,0.40,0.40
2852,0.24,0.24
2856,0.09,0.09
2861,-0.09,-0.09
2866,-0.29,-0.29
2871,-0.52,-0.52
2875,-0.63,-0.63
2880,-0.88,-0.88
2884,-1.09,-1.09
2889,-1.19,-1.19
2893,-1.32,-1.32
2898,-1.54,-1.54
2904,-1.29,-1.29
2908,-1.56,-1.56
2913,-1.64,-1.64
2917,-1.70,-1.70
2922,-1.80,-1.80
2926,-1.93,-1.93
2931,-2.00,-2.00
2936,-2.00,-2.00
2940,-2.00,-2.00
2946,-2.00,-2.00
2950,-2.00,-2.00
2955,-2.00,-2.00
2959,-2.00,-2.00
2964,-2.00,-2.00
2968,-2.00,-2.00
2973,-2.00,-2.00
2978,-2.00,-2.00
2982,-2.00,-2.00
2988,-2.00,-2.00
2992,-1.95,-1.95
2997,-1.86,-1.86
3002,-1.81,-1.81
3006,-1.76,-1.76
3011,-1.69,-1.69
3015,-1.66,-1.66
3020,-1.60,-1.60
3024,-1.54,-1.54
3030,-1.52,-1.52
3034,-1.53,-1.53
3039,-1.57,-1.57
3044,-1.63,-1.63
3048,-1.70,-1.70
3053,-1.76,-1.76
3057,-1.83,-1.83
3062,-1.88,-1.88
3066,-1.89,-1.89
3072,-1.89,-1.89
3077,-1.86,-1.86
3081,-1.83,-1.83
3086,-1.78,-1.78
3090,-1.68,-1.68
